JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28869.000,  1315.606,   343.150,     0.379,     0.000,     0.000,     0.000,     0.250,    36.630,   669.700,     1.000,     0.200,     0.786,   -91.587,     0.000,   197.407,   269.397,     9.520,    10.077,     0.000,         0.000,
 28870.000,  1448.909,   343.009,     0.179,     0.000,     0.000,     0.000,     0.250,    36.489,   669.700,     1.000,     0.219,     0.800,   -71.377,     0.000,   217.064,   274.618,     6.986,     6.838,     0.000,         0.000,
 28871.000,  1576.369,   342.864,     0.243,     0.000,     0.000,     0.000,     0.250,    36.344,   669.700,     1.000,     0.232,     0.989,   -47.632,     0.000,   236.302,   284.468,     6.030,    -6.564,     0.000,         0.000,
 28872.000,  1649.779,   342.713,     0.379,     0.000,     0.000,     0.000,     0.250,    36.193,   669.700,     1.000,     0.244,     1.107,   -64.663,     0.000,   222.638,   274.173,     9.041,     4.086,     0.000,         0.000,
 28873.000,  2138.465,   342.556,     0.476,     0.000,     0.000,     0.000,     0.250,    36.036,   669.700,     1.000,     0.257,     1.118,   -47.332,     0.000,   242.486,   282.322,     9.980,    -2.484,     0.000,         0.000,
 28874.000,  1592.591,   342.391,     0.496,     0.000,     0.000,     0.000,     0.250,    35.871,   657.400,     1.000,     0.265,     1.067,   -36.762,     0.000,   248.791,   287.117,     3.999,    -5.562,     0.000,         0.000,
 28875.000,  1953.806,   342.217,     0.523,     0.000,     0.000,     0.000,     0.250,    35.697,   657.400,     1.000,     0.273,     1.087,   -42.124,     0.000,   243.905,   282.838,     3.191,     0.000,     0.000,         0.000,
 28876.000,  2262.959,   342.041,     0.553,     0.000,     0.000,     0.000,     0.250,    35.521,   657.400,     1.000,     0.290,     1.100,   -96.595,     0.000,   215.283,   251.170,    14.357,    46.351,     0.000,         0.000,
 28877.000,  2630.731,   341.871,     0.621,     0.000,     0.000,     0.000,     0.250,    35.351,   657.400,     1.000,     0.311,     1.100,   -82.758,     0.000,   200.157,   255.134,     8.490,    19.291,     0.000,         0.000,
 28878.000,  2414.791,   341.717,     0.674,     0.000,     0.000,     0.000,     0.250,    35.197,   657.400,     1.000,     0.326,     1.112,   -44.250,     0.000,   241.156,   277.977,    11.693,    -4.265,     0.000,         0.000,
 28879.000,   570.086,   341.936,     0.694,     0.000,     0.000,     0.000,     0.250,    35.416,   657.400,     1.000,     0.321,     1.111,     4.702,     0.000,   280.886,   310.617,   -11.797,   -22.636,     0.000,         0.000,
 28880.000,   577.642,   342.718,     0.720,     0.000,     0.000,     0.000,     0.250,    36.198,   669.700,     1.000,     0.294,     1.092,   -39.213,     0.000,   238.624,   283.603,     7.042,   -12.808,     0.000,         0.000,
 28881.000,  1598.363,   343.380,     0.742,     0.000,     0.000,     0.000,     0.250,    36.860,   669.700,     1.000,     0.305,     0.840,   -67.834,     0.000,   208.495,   264.713,     6.705,     4.911,     0.000,         0.000,
 28882.000,  1687.756,   343.658,     0.756,     0.000,     0.000,     0.000,     0.250,    37.138,   683.800,     1.000,     0.316,     0.904,   -45.358,     0.000,   229.349,   278.117,     6.995,   -10.406,     0.000,         0.000,
 28883.000,  1512.654,   343.801,     0.784,     0.000,     0.000,     0.000,     0.250,    37.281,   683.800,     1.000,     0.325,     1.029,   -65.620,     0.000,   201.190,   264.542,     4.376,    -2.108,     0.000,         0.000,
 28884.000,  1193.692,   343.836,     0.816,     0.000,     0.000,     0.000,     0.250,    37.316,   683.800,     1.000,     0.336,     1.078,   -51.268,     0.000,   229.185,   271.509,     8.944,     0.000,     0.000,         0.000,
 28885.000,  1672.626,   343.794,     0.834,     0.000,     0.000,     0.000,     0.250,    37.274,   683.800,     1.000,     0.347,     1.059,   -52.717,     0.000,   223.329,   269.131,     5.736,     1.179,     0.000,         0.000,
 28886.000,   468.198,   343.709,     0.881,     0.000,     0.000,     0.000,     0.250,    37.189,   683.800,     1.000,     0.362,     1.090,   -93.884,     0.000,   181.364,   240.178,     8.524,    26.545,     0.000,         0.000,
 28887.000,  2217.100,   343.608,     0.952,     0.000,     0.000,     0.000,     0.250,    37.088,   683.800,     1.000,     0.380,     1.146,   -82.885,     0.000,   185.725,   244.552,     6.500,    17.559,     0.000,         0.000,
 28888.000,   141.723,   343.498,     1.026,     0.000,     0.000,     0.000,     0.250,    36.978,   669.700,     1.000,     0.395,     1.191,   -65.383,     0.000,   206.611,   254.825,     6.681,    10.489,     0.000,         0.000,
 28889.000,  2315.560,   343.386,     1.074,     0.000,     0.000,     0.000,     0.250,    36.866,   669.700,     1.000,     0.402,     1.197,   -24.098,     0.000,   237.578,   287.511,    -3.239,   -22.596,     0.000,         0.000,
 28890.000,  2315.917,   343.289,     1.115,     0.000,     0.000,     0.000,     0.250,    36.769,   669.700,     1.000,     0.350,     1.195,   -11.994,     0.000,   243.049,   298.653,   -10.395,   -33.214,     0.000,         0.000,
 28891.000,  2134.352,   343.289,     1.140,     0.000,     0.000,     0.000,     0.250,    36.769,   669.700,     1.000,     0.278,     1.199,     7.302,     0.000,   276.930,   311.642,   -11.441,   -30.573,     0.000,         0.000,
